"Measure","Ethnicity","Ethnicity_type","Time","Geography","Geography_type","Gender","Age Bracket","NS SEC","Physical Activity Level","Value","Value_type","Denominator (weighted)","Numerator (weighted)","Upper CI","Lower CI","Number of Respondents (unweighted)"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Other gender","16+","All","Physically inactive","*","%","*","*","*","*","*"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Fairly active","12.5","%","15538","1935","0.131","0.118","21557"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Physically active","61.3","%","15538","9523","0.622","0.604","21557"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Physically inactive","26.3","%","15538","4079","0.271","0.254","21557"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Fairly active","14.1","%","942","133","0.183","0.107","663"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Physically active","58.1","%","942","548","0.635","0.526","663"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Physically inactive","27.8","%","942","262","0.329","0.232","663"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Fairly active","12.9","%","241","31","0.206","0.078","219"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Physically active","49.9","%","241","120","0.598","0.399","219"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Physically inactive","37.3","%","241","90","0.472","0.283","219"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Fairly active","?","%","?","?","?","?","?"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Physically active","?","%","?","?","?","?","?"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Physically inactive","?","%","?","?","?","?","?"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Fairly active","?","%","?","?","?","?","?"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Physically active","66.6","%","238","159","0.748","0.574","208"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Physically inactive","23.9","%","238","57","0.329","0.168","208"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Fairly active","12.5","%","12757","1593","0.132","0.118","18712"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Physically active","62","%","12757","7908","0.63","0.61","18712"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Physically inactive","25.5","%","12757","3255","0.264","0.247","18712"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Fairly active","11","%","693","76","0.143","0.083","874"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Physically active","63.3","%","693","439","0.678","0.585","874"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Physically inactive","25.8","%","693","179","0.3","0.219","874"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Fairly active","?","%","?","?","?","?","?"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Physically active","57","%","83","48","0.716","0.41","90"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East Midlands","Region","All","16+","All","Physically inactive","?","%","?","?","?","?","?"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East","Region","All","16+","All","Fairly active","13.2","%","19905","2637","0.138","0.127","23735"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East","Region","All","16+","All","Physically active","61.2","%","19905","12185","0.62","0.604","23735"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East","Region","All","16+","All","Physically inactive","25.5","%","19905","5084","0.263","0.248","23735"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East","Region","All","16+","All","Fairly active","15.1","%","756","114","0.193","0.116","660"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East","Region","All","16+","All","Physically active","49.5","%","756","374","0.548","0.442","660"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East","Region","All","16+","All","Physically inactive","35.5","%","756","268","0.408","0.304","660"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East","Region","All","16+","All","Fairly active","10.1","%","315","32","0.149","0.068","257"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East","Region","All","16+","All","Physically active","60.1","%","315","189","0.678","0.519","257"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East","Region","All","16+","All","Physically inactive","29.7","%","315","94","0.377","0.228","257"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East","Region","All","16+","All","Fairly active","?","%","?","?","?","?","?"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East","Region","All","16+","All","Physically active","66.8","%","121","81","0.772","0.544","111"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East","Region","All","16+","All","Physically inactive","?","%","?","?","?","?","?"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East","Region","All","16+","All","Fairly active","16.2","%","292","47","0.241","0.106","251"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East","Region","All","16+","All","Physically active","72","%","292","210","0.792","0.635","251"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East","Region","All","16+","All","Physically inactive","11.7","%","292","34","0.184","0.072","251"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East","Region","All","16+","All","Fairly active","13.4","%","16386","2197","0.141","0.128","20071"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","East","Region","All","16+","All","Physically active","61.9","%","16386","10137","0.628","0.61","20071"
